epoch,train_f1,train_loss,valid_acc,valid_f1,valid_loss,dur
1,1.0,2.2493083477020264,0.15590277777777778,0.15590277777777778,2.0774172061019476,22.14568853378296
2,0.5,1.5295252799987793,0.058680555555555555,0.058680555555555555,2.1160597907172307,21.200119018554688
3,0.875,1.3080052137374878,0.1407986111111111,0.1407986111111111,2.0734096282058294,21.200549840927124
4,1.0,1.0105758905410767,0.07569444444444444,0.07569444444444444,2.1026208645767634,20.94889736175537
5,0.875,0.9081021547317505,0.11527777777777778,0.11527777777777778,2.073630133602354,21.157732725143433
6,1.0,0.7362732291221619,0.17413194444444444,0.17413194444444444,2.0443701098362603,20.98173761367798
7,0.875,0.8869277238845825,0.20677083333333332,0.2067708333333333,2.025588462750117,21.062216997146606
8,1.0,0.5913652777671814,0.22152777777777777,0.22152777777777777,2.017325559589598,21.186477422714233
9,1.0,0.48746877908706665,0.21909722222222222,0.21909722222222222,2.0199049323797227,21.01655602455139
10,1.0,0.6877858638763428,0.21163194444444444,0.21163194444444444,2.028242763876915,20.844998598098755
11,1.0,0.41224005818367004,0.21197916666666666,0.21197916666666666,2.0348187151882384,20.749905824661255
12,1.0,0.6119598150253296,0.20711805555555557,0.20711805555555557,2.0510128256347446,20.45349955558777
13,1.0,0.3977581858634949,0.20173611111111112,0.20173611111111112,2.063518241047859,20.984073877334595
14,1.0,0.3399556279182434,0.19444444444444445,0.19444444444444445,2.0792667898866863,21.021047115325928
15,1.0,0.5828506350517273,0.21475694444444443,0.21475694444444443,2.080223305688964,21.165933847427368
16,1.0,0.43278032541275024,0.20572916666666666,0.20572916666666666,2.095716196298599,20.98919105529785
17,1.0,0.23431041836738586,0.1984375,0.1984375,2.1064829101165135,21.17704939842224
18,0.875,0.6312035322189331,0.16961805555555556,0.16961805555555556,2.1325450347529515,21.1715145111084
1,0.5416666666666666,1.4946470657984416,0.20815972222222223,0.20815972222222223,2.105786164932781,21.687597036361694
2,0.9583333333333334,0.7896535396575928,0.23576388888888888,0.23576388888888888,2.0834763540161982,21.389426231384277
3,0.8333333333333334,0.6742962797482809,0.23854166666666668,0.23854166666666665,2.0734786429338987,21.54853653907776
4,0.9583333333333334,0.5498340527216593,0.24618055555555557,0.24618055555555557,2.058174037436644,21.61341166496277
5,1.0,0.515421191851298,0.24774305555555556,0.24774305555555556,2.046438579261303,24.00177764892578
6,0.9166666666666666,0.5362677574157715,0.2512152777777778,0.2512152777777778,2.027129117647807,22.312475442886353
7,0.9166666666666666,0.4557887117067973,0.26006944444444446,0.26006944444444446,2.006633449925317,21.39025855064392
8,0.9166666666666666,0.45918262004852295,0.2640625,0.2640625,2.0026850764950117,21.48677110671997
9,1.0,0.3683073818683624,0.2670138888888889,0.2670138888888889,1.9949932855036523,21.457252264022827
10,1.0,0.3464393615722656,0.26979166666666665,0.26979166666666665,1.9809299770328734,21.453925132751465
11,1.0,0.2574814260005951,0.27274305555555556,0.27274305555555556,1.977190324332979,21.566137552261353
12,0.9166666666666666,0.4182930489381154,0.28107638888888886,0.28107638888888886,1.9725828170776367,21.389697074890137
13,1.0,0.28121929864088696,0.28489583333333335,0.28489583333333335,1.9569897007611063,21.823717832565308
14,0.9583333333333334,0.30451782544453937,0.27899305555555554,0.27899305555555554,1.9705456336339315,21.533888816833496
15,0.9583333333333334,0.23274271190166473,0.28107638888888886,0.28107638888888886,1.9717006996273994,21.57490873336792
16,1.0,0.27133554220199585,0.28177083333333336,0.28177083333333336,1.9648424464795324,21.0941104888916
17,1.0,0.2543906420469284,0.2861111111111111,0.2861111111111111,1.9587315551108784,21.40611696243286
18,1.0,0.20083716015021005,0.28506944444444443,0.28506944444444443,1.9624510685602823,21.46861243247986
19,1.0,0.24364715814590454,0.2857638888888889,0.2857638888888889,1.9652079300747978,21.54720115661621
20,1.0,0.20578338702519736,0.28506944444444443,0.28506944444444443,1.969427884949578,21.729029417037964
21,1.0,0.19676931699117026,0.28506944444444443,0.28506944444444443,1.9662396437591976,21.717304229736328
22,1.0,0.1980519493420919,0.2838541666666667,0.2838541666666667,1.965540206597911,21.519032955169678
23,1.0,0.19783789416154227,0.28524305555555557,0.28524305555555557,1.9671104674537976,21.770526885986328
1,0.4107142857142857,1.6905646664755685,0.384375,0.384375,1.6581131254633268,22.752137660980225
2,0.625,0.958602922303336,0.4357638888888889,0.4357638888888889,1.5718376085162162,22.546638250350952
3,0.7857142857142857,0.7407892772129604,0.46927083333333336,0.46927083333333336,1.513741943736871,22.363588094711304
4,0.8928571428571429,0.558746704033443,0.5026041666666666,0.5026041666666666,1.47772542503145,22.328038692474365
5,0.9464285714285714,0.5501141718455723,0.5232638888888889,0.5232638888888889,1.4528594980637233,22.17370104789734
6,0.9285714285714286,0.4999676006180899,0.5258680555555556,0.5258680555555556,1.4459007462693585,22.164775848388672
7,0.9464285714285714,0.3975545849118914,0.5413194444444445,0.5413194444444445,1.433439966208405,23.25008797645569
8,0.9642857142857143,0.4142321007592337,0.5449652777777778,0.5449652777777778,1.4217158577508398,24.328215837478638
9,0.9285714285714286,0.42128729820251465,0.5680555555555555,0.5680555555555555,1.4003458733359972,22.442999362945557
10,0.9821428571428571,0.34188516225133625,0.5699652777777777,0.5699652777777777,1.3920000462068451,22.42631244659424
11,0.9464285714285714,0.3972564126764025,0.5637152777777777,0.5637152777777777,1.3940006638566653,22.198686838150024
12,0.9821428571428571,0.353182498897825,0.5612847222222223,0.5612847222222223,1.3940993924935658,22.270467042922974
13,0.9642857142857143,0.320659339427948,0.5618055555555556,0.5618055555555556,1.388143167975876,22.485833168029785
14,0.9642857142857143,0.3071302856717791,0.5625,0.5625,1.3863896042108537,22.390819787979126
15,0.9642857142857143,0.294710527573313,0.5529513888888888,0.5529513888888888,1.3973092042737536,22.468538522720337
16,0.9821428571428571,0.2618519536086491,0.5557291666666667,0.5557291666666667,1.39222326013777,22.469868421554565
17,1.0,0.260632187128067,0.5595486111111111,0.5595486111111111,1.3863669778737757,22.216527462005615
18,1.0,0.26308673194476534,0.5559027777777777,0.5559027777777777,1.3912418896953265,22.287492036819458
19,1.0,0.2752871428217207,0.5543402777777777,0.5543402777777777,1.3881455928087234,22.406538486480713
20,1.0,0.24655454073633468,0.5519097222222222,0.5519097222222222,1.3854130509826872,22.443228006362915
21,0.9821428571428571,0.25893489377839224,0.5501736111111111,0.5501736111111111,1.3818749892214934,22.51305103302002
22,0.9642857142857143,0.3196953364780971,0.5503472222222222,0.5503472222222222,1.3774856140216192,22.296907901763916
23,0.9642857142857143,0.2725668123790196,0.5442708333333334,0.5442708333333334,1.3811281730731328,22.315093278884888
24,0.9821428571428571,0.27841409189360483,0.5467013888888889,0.5467013888888889,1.3797491740849284,22.11150550842285
25,0.9821428571428571,0.2484811246395111,0.5536458333333333,0.5536458333333333,1.3717869905961884,22.400036573410034
26,0.9821428571428571,0.2497768657548087,0.5546875,0.5546875,1.37008732209603,22.623103141784668
27,1.0,0.21817409140723093,0.5541666666666667,0.5541666666666667,1.3678726924790277,22.606030464172363
28,1.0,0.21823979914188385,0.5458333333333333,0.5458333333333333,1.3819023724231454,22.34340524673462
29,0.9642857142857143,0.25030521196978434,0.5473958333333333,0.5473958333333333,1.377513761818409,22.20478057861328
30,0.9642857142857143,0.24273243333612168,0.5513888888888889,0.5513888888888889,1.3686899099085066,22.092263221740723
31,0.9821428571428571,0.22796911001205444,0.5486111111111112,0.5486111111111112,1.3669426126612558,22.407639980316162
32,1.0,0.21987850112574442,0.5411458333333333,0.5411458333333333,1.3769905148280992,22.515398502349854
33,1.0,0.19700998280729567,0.5446180555555555,0.5446180555555555,1.376408805946509,22.54197597503662
34,0.9821428571428571,0.19284932953970774,0.5446180555555555,0.5446180555555555,1.3817232665916284,22.409550666809082
35,0.9821428571428571,0.20495243796280452,0.5486111111111112,0.5486111111111112,1.3784850013752779,22.47623085975647
36,1.0,0.22919739995683944,0.5421875,0.5421875,1.3813605379727152,22.641825437545776
37,0.9821428571428571,0.22036003853593553,0.5460069444444444,0.5460069444444444,1.3828068979912334,22.061566829681396
38,0.9821428571428571,0.2544433942862919,0.5381944444444444,0.5381944444444444,1.3817337095737456,22.871646642684937
39,0.9821428571428571,0.2196301051548549,0.5369791666666667,0.5369791666666667,1.3849733096030024,22.598809719085693
40,0.9821428571428571,0.2506316431931087,0.5355902777777778,0.5355902777777778,1.388477890772952,25.025346994400024
41,0.9821428571428571,0.1964533712182726,0.5371527777777778,0.5371527777777778,1.3903778355154726,22.56845712661743
1,0.9083333333333333,0.44701349139213564,0.5940972222222223,0.5940972222222223,1.3405253975341718,24.35854148864746
2,0.9916666666666667,0.25309982101122536,0.621875,0.621875,1.2597554670439826,24.4640896320343
3,0.975,0.19621694584687552,0.6404513888888889,0.6404513888888889,1.1986651237226196,24.621752500534058
4,1.0,0.1584125538667043,0.6427083333333333,0.6427083333333333,1.1918754924502637,24.460708141326904
5,0.9833333333333333,0.1526508927345276,0.6475694444444444,0.6475694444444444,1.1596219435748127,24.307528018951416
6,0.9833333333333333,0.1551143378019333,0.6444444444444445,0.6444444444444445,1.1653868237924245,24.500175952911377
7,0.9833333333333333,0.13440942764282227,0.6555555555555556,0.6555555555555556,1.1455822647652691,24.111560106277466
8,0.9833333333333333,0.139288995663325,0.665625,0.665625,1.1414949897262785,24.15472912788391
9,1.0,0.09727294991413753,0.6710069444444444,0.6710069444444444,1.130315522187286,24.395434856414795
10,0.9916666666666667,0.09890329043070475,0.6723958333333333,0.6723958333333333,1.115329614840448,24.79946732521057
11,1.0,0.07743040397763253,0.6776041666666667,0.6776041666666667,1.1048023955068655,24.609774112701416
12,0.9916666666666667,0.08808703521887461,0.6717013888888889,0.6717013888888889,1.1189020708203317,24.395251750946045
