epoch,train_f1,train_loss,valid_acc,valid_f1,valid_loss,dur
1,0.5555555555555555,0.720712423324585,0.00034722222222222224,0.7914961666901839,0.7206520703103807,7.942231178283691
2,0.2222222222222222,0.6679325103759766,0.00034722222222222224,0.5263204478403437,0.7225474463568793,7.453805685043335
3,0.4444444444444444,0.6807036399841309,0.049479166666666664,0.34044335761368716,0.701252031326294,7.451527833938599
4,0.5111111111111112,0.6315616965293884,0.0265625,0.32957709070561153,0.7143099572923448,7.474309921264648
5,0.6868686868686869,0.6096851825714111,0.06111111111111111,0.39586007005281626,0.715890900293986,7.499048948287964
6,0.7777777777777777,0.6110565662384033,0.09114583333333333,0.41984593860238634,0.7036087579197354,7.56597638130188
7,0.8380952380952381,0.5774902701377869,0.08819444444444445,0.4179309818301144,0.7056917760107252,7.599643707275391
8,0.8380952380952381,0.5853363871574402,0.08940972222222222,0.4147397367119942,0.7080617891417609,7.566873550415039
9,0.8796296296296297,0.5808510780334473,0.08159722222222222,0.41113301063842317,0.71170115603341,7.582789659500122
10,0.7407407407407408,0.5488724708557129,0.09184027777777778,0.4154865097599663,0.7097131358252631,7.562265634536743
11,0.8857142857142858,0.5636926889419556,0.09479166666666666,0.41591054000806316,0.7084150049421523,7.579090118408203
12,0.597883597883598,0.5868878364562988,0.09357638888888889,0.4160579285456684,0.7100208030806647,7.608530044555664
13,0.8023809523809525,0.5521787405014038,0.09409722222222222,0.4162620822561187,0.7094490965207417,7.617648601531982
14,0.7111111111111111,0.5579366683959961,0.09427083333333333,0.41638191908118277,0.7107527507676019,7.600731134414673
1,0.5375438596491228,0.669340968132019,0.3298611111111111,0.15384615384615383,0.6501029941770765,7.679473876953125
2,0.12535612535612536,0.6370342969894409,0.42204861111111114,0.12627669452181986,0.6425094882647197,7.625213623046875
3,0.125,0.6126148700714111,0.45729166666666665,0.08187584283201814,0.6399081958664788,7.646937131881714
4,0.43532763532763535,0.5858681201934814,0.45555555555555555,0.05658868226354729,0.6346980690956116,7.6268415451049805
5,0.20875420875420878,0.5831149816513062,0.45121527777777776,0.0551792532686848,0.6283229337798224,7.6593403816223145
6,0.4148148148148148,0.567276656627655,0.44913194444444443,0.03507030993230219,0.6263445615768433,7.609928369522095
7,0.4481481481481482,0.560162365436554,0.45034722222222223,0.04542762807625061,0.623973094092475,7.659389495849609
8,0.49292929292929283,0.5496874451637268,0.44774305555555555,0.04443410085503884,0.6249867942598131,7.630652666091919
9,0.6868686868686869,0.5150271058082581,0.4486111111111111,0.03637513988893141,0.6211160673035516,7.65681529045105
10,0.5945165945165946,0.5282548069953918,0.45,0.05852123770877549,0.619750956694285,7.723415374755859
11,0.7203907203907204,0.540461540222168,0.4501736111111111,0.06396627020647717,0.6188741803169251,7.635028600692749
12,0.5434343434343435,0.5440102815628052,0.4515625,0.07087068269438974,0.6183246347639296,7.640815734863281
13,0.6293706293706294,0.5375452041625977,0.4496527777777778,0.06197819354688933,0.6184672209951613,7.6584742069244385
14,0.7532467532467533,0.5150454640388489,0.45,0.05564829425593134,0.6170118596818712,7.703487396240234
15,0.5687645687645687,0.5219202041625977,0.4501736111111111,0.06440502252056822,0.6167819685406155,7.637573003768921
16,0.705128205128205,0.5098651647567749,0.4496527777777778,0.06266179150047692,0.6167476018269856,7.698705434799194
17,0.6551226551226551,0.5242792963981628,0.4498263888888889,0.06358855558513574,0.6165816360049777,7.629358530044556
18,0.5333333333333333,0.5201066136360168,0.4498263888888889,0.06282021401064253,0.6163743178049723,7.637841463088989
19,0.710955710955711,0.5282443165779114,0.45,0.06238388943370982,0.6158137864536709,7.68812108039856
