Iteration,F1 Score
1,0.2878472222222222
2,0.5786458333333333
3,0.6487847222222223
4,0.7111111111111111
5,0.7322916666666666
6,0.7675347222222222
7,0.7657986111111111
8,0.784375
9,0.7871527777777777
10,0.7729166666666667
11,0.8128472222222223
12,0.8177083333333333
13,0.8293402777777777
14,0.8435763888888889
