epoch,train_f1,train_loss,valid_acc,valid_f1,valid_loss,dur
1,0.5386243386243387,0.7045077085494995,0.12447916666666667,0.4765735435426864,0.6946100090112951,47.30398750305176
2,0.7301587301587302,0.6689329147338867,0.12621527777777777,0.4353720212846422,0.6940625121196111,45.046008825302124
3,0.832010582010582,0.5988197326660156,0.12065972222222222,0.4697410367278574,0.6925610868467225,45.58420491218567
4,0.8412698412698413,0.5420083403587341,0.08368055555555555,0.4836437928217916,0.6934124250378874,42.92970418930054
5,1.0,0.5054627656936646,0.08402777777777778,0.4905786969533519,0.6907705512311724,44.47644090652466
6,0.9153439153439153,0.446743369102478,0.11614583333333334,0.5024499574673511,0.68603016651339,43.76456594467163
7,0.9629629629629629,0.4186375141143799,0.15711805555555555,0.4906666484038256,0.6797506705754333,43.104530811309814
8,0.9523809523809524,0.38713735342025757,0.24270833333333333,0.44592839626522834,0.6717599278522862,45.01577353477478
9,1.0,0.3156704604625702,0.27534722222222224,0.3773199270376845,0.6656988677879174,42.53673005104065
10,1.0,0.29996606707572937,0.2798611111111111,0.32541644802305403,0.6625366883145438,44.71109366416931
11,1.0,0.31511813402175903,0.28350694444444446,0.31267488612962785,0.6617992853952779,43.93825006484985
12,1.0,0.2657344937324524,0.2847222222222222,0.31303841462455756,0.6614734302378363,43.10234045982361
13,1.0,0.27740657329559326,0.2899305555555556,0.3431314696142971,0.6643219481325812,44.74326992034912
14,1.0,0.1752309501171112,0.29322916666666665,0.38551200743328806,0.6687601434273852,42.609477281570435
15,1.0,0.18051938712596893,0.29444444444444445,0.4193753013025732,0.6727380094842779,42.92156624794006
16,1.0,0.21506941318511963,0.28715277777777776,0.4402877154889851,0.682281688393818,43.44222831726074
17,1.0,0.17512747645378113,0.28402777777777777,0.4547246151625102,0.6899454158213404,41.542277812957764
18,1.0,0.14569315314292908,0.2842013888888889,0.45834054119922446,0.6975212564898862,43.718653202056885
19,1.0,0.09857865422964096,0.28506944444444443,0.45706463740132586,0.7070666530893909,42.67274522781372
20,1.0,0.11850439012050629,0.28854166666666664,0.45672975586495507,0.7156037528895669,42.124818325042725
1,0.6941691097770951,0.6047497193018595,0.26805555555555555,0.5150159751418867,0.6369122938977347,43.4384183883667
2,0.8957767722473604,0.3347476025422414,0.2076388888888889,0.5635709677658295,0.5973052555074294,43.899269104003906
3,0.9824561403508772,0.26242077350616455,0.25850694444444444,0.6225784171228531,0.5619297940697935,41.980196475982666
4,0.9583333333333334,0.22743999461332956,0.3732638888888889,0.6817082221864119,0.5208236786640352,44.39064383506775
5,1.0,0.18064537644386292,0.4487847222222222,0.7252863170680195,0.4905156511813402,43.359132051467896
6,1.0,0.15590794384479523,0.4855902777777778,0.7471893768082181,0.4784188266222676,43.7035014629364
7,1.0,0.10525173942248027,0.49496527777777777,0.7562153821624765,0.47678031149423783,44.39194464683533
8,1.0,0.08126989503701527,0.4869791666666667,0.7556361385377534,0.46259567611333396,42.20348334312439
9,1.0,0.07925395543376605,0.4935763888888889,0.7601422573380002,0.44865222407711874,44.18118596076965
10,0.9904761904761905,0.07009283701578777,0.5234375,0.7646674259629958,0.4176498131309119,43.31436514854431
11,1.0,0.04841892421245575,0.5460069444444444,0.7645190395537774,0.4068080344547828,43.55041193962097
12,1.0,0.03871610760688782,0.5427083333333333,0.7606989866650391,0.41152340677670307,43.94617176055908
13,1.0,0.04619437952836355,0.5381944444444444,0.7645637224845849,0.4242739217148887,42.8126163482666
14,1.0,0.03674817457795143,0.5487847222222222,0.7632051873758008,0.425715893936447,44.13172721862793
15,1.0,0.029877909769614536,0.5496527777777778,0.7614996080678722,0.4273457075883117,43.576414346694946
16,1.0,0.020680328210194904,0.5519097222222222,0.7632978363455881,0.43768946123826835,43.137229681015015
17,1.0,0.03027649347980817,0.5572916666666666,0.76424796269825,0.4361934139186309,44.33840370178223
18,1.0,0.019716264059146244,0.5501736111111111,0.7545957206967091,0.44779082282135885,42.91069030761719
19,1.0,0.016471259916822117,0.5524305555555555,0.7580633364478065,0.4564440180030134,43.48280167579651
1,0.8912839059674503,0.32972664332815577,0.5859375,0.7705881529611451,0.3954543206840754,44.5058491230011
2,0.934047619047619,0.14318803591387613,0.6211805555555555,0.7536543223289214,0.34721047137346533,43.88902997970581
3,0.9492476706994855,0.10865857611809458,0.6486111111111111,0.8122018204275512,0.3110880047807263,45.32746744155884
4,0.9789395474501857,0.08384931273758411,0.6189236111111112,0.7796065836913603,0.32563281809497213,44.312376737594604
5,0.9859099804305284,0.05600238777697086,0.6244791666666667,0.7714120783353304,0.3273922186086161,43.87298941612244
6,0.9859099804305284,0.0523576627352408,0.6340277777777777,0.8130461602171303,0.33684509487615694,44.91873550415039
7,0.98989898989899,0.05278722462909562,0.6755208333333333,0.8300055448228386,0.32168212012491293,45.375436782836914
8,1.0,0.02743503251778228,0.6736111111111112,0.8174264814320541,0.33686472249941696,43.95112133026123
9,0.9954337899543378,0.04160130941974265,0.6760416666666667,0.8160578110427128,0.3248728984488278,44.198986291885376
