Iteration,Accuracy,F1 Score
1,0.24809027777777778,0.3178919459875274
2,0.29461805555555554,0.3889307958365789
3,0.4835069444444444,0.3829282612915903
4,0.6171875,0.6362613386575441
5,0.7043402777777777,0.8088236196701925
6,0.7321180555555555,0.8446242668551042
7,0.7368055555555556,0.8391274513940807
8,0.7864583333333334,0.8755442028278613
9,0.8130208333333333,0.8872283237514692
10,0.8119791666666667,0.8924960212093289
11,0.8251736111111111,0.9032793804409427
12,0.8269097222222223,0.9043951964679504
13,0.8267361111111111,0.9056932532334762
14,0.8208333333333333,0.9023221223377753
